Image_ID,note_id,image_path,Primary_HEX,Secondary_HEX,Dominant_Color_Name,Color_Family,Primary_Color_Ratio,Secondary_Color_Ratio,Color_Extraction_Status
GRP-XHS-683ec114000000002300dde0-03,683ec114000000002300dde0,Dataset/xhs/xiaohongshu_images/机能风穿搭/683ec114000000002300dde0/image_03.webp,#DCDDDC,#C9C9C8,white,white,0.3794,0.206,ok
GRP-XHS-683ec114000000002300dde0-05,683ec114000000002300dde0,Dataset/xhs/xiaohongshu_images/机能风穿搭/683ec114000000002300dde0/image_05.webp,#DADAD9,#B8B5B3,white,white,0.5386,0.1652,ok
GRP-XHS-683ec114000000002300dde0-07,683ec114000000002300dde0,Dataset/xhs/xiaohongshu_images/机能风穿搭/683ec114000000002300dde0/image_07.webp,#1B1E19,#454B42,black,black,0.3216,0.2802,ok
GRP-XHS-69c7b3450000000020039ccc-01,69c7b3450000000020039ccc,Dataset/xhs/xiaohongshu_images/机能风穿搭/69c7b3450000000020039ccc/image_01.webp,#D3D3D6,#C0C2C8,white,white,0.358,0.2676,ok
GRP-XHS-68da4ee6000000001101da8b-01,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_01.webp,#D3DEE8,#26272A,white,white,0.2848,0.2502,ok
GRP-XHS-68da4ee6000000001101da8b-02,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_02.webp,#24262A,#DDE4E9,black,black,0.3138,0.249,ok
GRP-XHS-68da4ee6000000001101da8b-03,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_03.webp,#D4E1E9,#212125,white,white,0.4324,0.1872,ok
GRP-XHS-68da4ee6000000001101da8b-04,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_04.webp,#C5D5E5,#94AACC,blue,blue,0.2752,0.2662,ok
GRP-XHS-68da4ee6000000001101da8b-05,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_05.webp,#1D1B1D,#DAE4EB,black,black,0.5156,0.149,ok
GRP-XHS-68da4ee6000000001101da8b-06,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_06.webp,#E0E7EC,#26282A,white,white,0.3274,0.2604,ok
GRP-XHS-68da4ee6000000001101da8b-07,68da4ee6000000001101da8b,Dataset/xhs/xiaohongshu_images/机能风穿搭/68da4ee6000000001101da8b/image_07.webp,#D3DEE6,#27272A,white,white,0.3944,0.2602,ok
GRP-XHS-69d10431000000001b0025ee-01,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_01.webp,#1B1D1D,#C2C5C6,black,black,0.3174,0.2936,ok
GRP-XHS-69d10431000000001b0025ee-02,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_02.webp,#A3977B,#CDD0CC,khaki,khaki_or_beige,0.3482,0.3094,ok
GRP-XHS-69d10431000000001b0025ee-03,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_03.webp,#282727,#0F0E0E,black,black,0.3426,0.2644,ok
GRP-XHS-69d10431000000001b0025ee-04,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_04.webp,#D7DBDF,#16171B,white,white,0.5134,0.2498,ok
GRP-XHS-69d10431000000001b0025ee-05,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_05.webp,#111413,#212926,black,black,0.4744,0.238,ok
GRP-XHS-69d10431000000001b0025ee-06,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_06.webp,#B5B8BB,#141415,gray,gray,0.3118,0.2572,ok
GRP-XHS-69d10431000000001b0025ee-07,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_07.webp,#FEFEFE,#7A8285,white,white,0.281,0.2692,ok
GRP-XHS-69d10431000000001b0025ee-08,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_08.webp,#D5D4D1,#28282A,white,white,0.4212,0.3346,ok
GRP-XHS-69d10431000000001b0025ee-09,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_09.webp,#BBBDBD,#646064,gray,gray,0.5014,0.1656,ok
GRP-XHS-69d10431000000001b0025ee-10,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_10.webp,#CCCFCF,#BBBFBD,gray,gray,0.4042,0.2408,ok
GRP-XHS-69d10431000000001b0025ee-11,69d10431000000001b0025ee,Dataset/xhs/xiaohongshu_images/机能风穿搭/69d10431000000001b0025ee/image_11.webp,#B3B5B9,#201F22,gray,gray,0.3908,0.2488,ok
GRP-XHS-6964a74c000000002202c56c-01,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_01.webp,#BFBAAF,#DEE1DE,gray,gray,0.2912,0.2574,ok
GRP-XHS-6964a74c000000002202c56c-06,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_06.webp,#251F1B,#0C0B0A,black,black,0.3038,0.2448,ok
GRP-XHS-6964a74c000000002202c56c-07,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_07.webp,#342E29,#151311,orange,red_or_orange,0.331,0.2476,ok
GRP-XHS-6964a74c000000002202c56c-08,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_08.webp,#12110E,#2E2924,black,black,0.322,0.2992,ok
GRP-XHS-6964a74c000000002202c56c-09,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_09.webp,#17110E,#312F2D,black,black,0.3632,0.2614,ok
GRP-XHS-6964a74c000000002202c56c-10,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_10.webp,#120E0B,#282623,black,black,0.4624,0.2212,ok
GRP-XHS-6964a74c000000002202c56c-11,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_11.webp,#1C1B18,#54514D,black,black,0.3952,0.2066,ok
GRP-XHS-6964a74c000000002202c56c-12,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_12.webp,#161617,#CCD1CF,black,black,0.3402,0.2314,ok
GRP-XHS-6964a74c000000002202c56c-14,6964a74c000000002202c56c,Dataset/xhs/xiaohongshu_images/机能风穿搭/6964a74c000000002202c56c/image_14.webp,#161412,#D2D2CC,black,black,0.3554,0.1786,ok
GRP-XHS-68e8a98f000000000700d9b4-03,68e8a98f000000000700d9b4,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e8a98f000000000700d9b4/image_03.webp,#D9D9D9,#64676F,white,white,0.4658,0.169,ok
GRP-XHS-69b4ec21000000002200ed5b-01,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_01.webp,#17161A,#2B2B31,black,black,0.286,0.2858,ok
GRP-XHS-69b4ec21000000002200ed5b-02,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_02.webp,#1E1D21,#CFD3D7,black,black,0.376,0.2146,ok
GRP-XHS-69b4ec21000000002200ed5b-03,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_03.webp,#17171B,#686E74,black,black,0.2832,0.2664,ok
GRP-XHS-69b4ec21000000002200ed5b-04,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_04.webp,#727980,#D5DADD,gray,gray,0.3088,0.2154,ok
GRP-XHS-69b4ec21000000002200ed5b-05,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_05.webp,#575E65,#1B1C20,blue,blue,0.3588,0.3064,ok
GRP-XHS-69b4ec21000000002200ed5b-06,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_06.webp,#767B7F,#53595F,gray,gray,0.2336,0.2148,ok
GRP-XHS-69b4ec21000000002200ed5b-07,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_07.webp,#201E24,#6D7177,black,black,0.3398,0.2142,ok
GRP-XHS-69b4ec21000000002200ed5b-08,69b4ec21000000002200ed5b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69b4ec21000000002200ed5b/image_08.webp,#1D1C21,#757679,black,black,0.3698,0.2412,ok
GRP-XHS-69734679000000002202d5e2-01,69734679000000002202d5e2,Dataset/xhs/xiaohongshu_images/机能风穿搭/69734679000000002202d5e2/image_01.webp,#CECECE,#B4B4B2,gray,gray,0.47,0.3116,ok
GRP-XHS-69734679000000002202d5e2-02,69734679000000002202d5e2,Dataset/xhs/xiaohongshu_images/机能风穿搭/69734679000000002202d5e2/image_02.webp,#C3C3C3,#3F3F3F,gray,gray,0.3534,0.2546,ok
GRP-XHS-69734679000000002202d5e2-03,69734679000000002202d5e2,Dataset/xhs/xiaohongshu_images/机能风穿搭/69734679000000002202d5e2/image_03.webp,#DADFE4,#080608,white,white,0.5566,0.1946,ok
GRP-XHS-69734679000000002202d5e2-04,69734679000000002202d5e2,Dataset/xhs/xiaohongshu_images/机能风穿搭/69734679000000002202d5e2/image_04.webp,#888B87,#747673,gray,gray,0.3188,0.259,ok
GRP-XHS-69734679000000002202d5e2-05,69734679000000002202d5e2,Dataset/xhs/xiaohongshu_images/机能风穿搭/69734679000000002202d5e2/image_05.webp,#F8F8F8,#D9DAD5,white,white,0.393,0.2162,ok
GRP-XHS-69cdbae90000000021013a1d-01,69cdbae90000000021013a1d,Dataset/xhs/xiaohongshu_images/机能风穿搭/69cdbae90000000021013a1d/image_01.webp,#4F2B25,#873623,red,red_or_orange,0.3772,0.3482,ok
GRP-XHS-69cdbae90000000021013a1d-02,69cdbae90000000021013a1d,Dataset/xhs/xiaohongshu_images/机能风穿搭/69cdbae90000000021013a1d/image_02.webp,#4D2B26,#883724,red,red_or_orange,0.3684,0.3378,ok
GRP-XHS-69cdbae90000000021013a1d-03,69cdbae90000000021013a1d,Dataset/xhs/xiaohongshu_images/机能风穿搭/69cdbae90000000021013a1d/image_03.webp,#7E3120,#4F2A24,red,red_or_orange,0.3144,0.277,ok
GRP-XHS-69cdbae90000000021013a1d-04,69cdbae90000000021013a1d,Dataset/xhs/xiaohongshu_images/机能风穿搭/69cdbae90000000021013a1d/image_04.webp,#402320,#742D1E,red,red_or_orange,0.3374,0.2812,ok
GRP-XHS-69cdbae90000000021013a1d-05,69cdbae90000000021013a1d,Dataset/xhs/xiaohongshu_images/机能风穿搭/69cdbae90000000021013a1d/image_05.webp,#482924,#762E1F,red,red_or_orange,0.3158,0.2544,ok
GRP-XHS-6a0423830000000036033a57-01,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_01.webp,#666562,#444544,gray,gray,0.401,0.3746,ok
GRP-XHS-6a0423830000000036033a57-02,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_02.webp,#4D4C49,#373735,gray,gray,0.5842,0.2706,ok
GRP-XHS-6a0423830000000036033a57-03,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_03.webp,#7B7973,#565552,gray,gray,0.606,0.236,ok
GRP-XHS-6a0423830000000036033a57-04,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_04.webp,#61615E,#6F716D,gray,gray,0.3506,0.3166,ok
GRP-XHS-6a0423830000000036033a57-05,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_05.webp,#71706D,#5A5A5A,gray,gray,0.5524,0.1946,ok
GRP-XHS-6a0423830000000036033a57-06,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_06.webp,#666562,#4B4C4B,gray,gray,0.6024,0.2414,ok
GRP-XHS-6a0423830000000036033a57-07,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_07.webp,#63625E,#494948,gray,gray,0.5644,0.2808,ok
GRP-XHS-6a0423830000000036033a57-08,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_08.webp,#61605C,#72716E,gray,gray,0.4264,0.256,ok
GRP-XHS-6a0423830000000036033a57-09,6a0423830000000036033a57,Dataset/xhs/xiaohongshu_images/机能风穿搭/6a0423830000000036033a57/image_09.webp,#585854,#6B6A65,gray,gray,0.3892,0.3804,ok
GRP-XHS-69169e58000000000703ab3b-01,69169e58000000000703ab3b,Dataset/xhs/xiaohongshu_images/机能风穿搭/69169e58000000000703ab3b/image_01.webp,#ABA6A2,#8C8479,gray,gray,0.2764,0.2122,ok
GRP-XHS-694be601000000001f00792e-01,694be601000000001f00792e,Dataset/xhs/xiaohongshu_images/机能风穿搭/694be601000000001f00792e/image_01.webp,#CED2DF,#363F44,white,white,0.469,0.2448,ok
GRP-XHS-694be601000000001f00792e-02,694be601000000001f00792e,Dataset/xhs/xiaohongshu_images/机能风穿搭/694be601000000001f00792e/image_02.webp,#292A2E,#DDE3E3,black,black,0.316,0.3034,ok
GRP-XHS-694be601000000001f00792e-03,694be601000000001f00792e,Dataset/xhs/xiaohongshu_images/机能风穿搭/694be601000000001f00792e/image_03.webp,#D5DAD6,#1B2024,white,white,0.4586,0.3254,ok
GRP-XHS-688223c8000000001203365b-01,688223c8000000001203365b,Dataset/xhs/xiaohongshu_images/机能风穿搭/688223c8000000001203365b/image_01.webp,#D1CBC7,#0E0D11,gray,gray,0.301,0.2388,ok
GRP-XHS-684be38f000000002202869a-01,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_01.webp,#E7E7E6,#FEFEFE,white,white,0.382,0.2864,ok
GRP-XHS-684be38f000000002202869a-02,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_02.webp,#E7E6E6,#FFFFFF,white,white,0.3648,0.3256,ok
GRP-XHS-684be38f000000002202869a-03,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_03.webp,#E6E6E6,#FFFFFF,white,white,0.3812,0.3138,ok
GRP-XHS-684be38f000000002202869a-04,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_04.webp,#E6E6E6,#FFFFFF,white,white,0.3366,0.3126,ok
GRP-XHS-684be38f000000002202869a-05,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_05.webp,#E8E7E6,#FFFEFE,white,white,0.408,0.3212,ok
GRP-XHS-684be38f000000002202869a-06,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_06.webp,#E6E6E6,#FEFEFE,white,white,0.338,0.3132,ok
GRP-XHS-684be38f000000002202869a-07,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_07.webp,#E7E7E8,#FFFEFE,white,white,0.4124,0.3268,ok
GRP-XHS-684be38f000000002202869a-08,684be38f000000002202869a,Dataset/xhs/xiaohongshu_images/机能风穿搭/684be38f000000002202869a/image_08.webp,#E8E7E7,#FFFEFE,white,white,0.3864,0.3086,ok
GRP-XHS-68e99da2000000000700a15f-01,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_01.webp,#D2D3D6,#3A3838,white,white,0.3186,0.2622,ok
GRP-XHS-68e99da2000000000700a15f-03,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_03.webp,#2C3233,#838382,blue,blue,0.5062,0.1622,ok
GRP-XHS-68e99da2000000000700a15f-04,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_04.webp,#0B0C0F,#302E2C,black,black,0.4368,0.1928,ok
GRP-XHS-68e99da2000000000700a15f-05,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_05.webp,#161616,#6B6A6F,black,black,0.3564,0.2436,ok
GRP-XHS-68e99da2000000000700a15f-06,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_06.webp,#DBDBD7,#13110E,white,white,0.4346,0.236,ok
GRP-XHS-68e99da2000000000700a15f-07,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_07.webp,#BCBCC5,#DEDFE5,gray,gray,0.3612,0.2348,ok
GRP-XHS-68e99da2000000000700a15f-08,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_08.webp,#E3E5E6,#503E33,white,white,0.3992,0.2408,ok
GRP-XHS-68e99da2000000000700a15f-09,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_09.webp,#FCFCFC,#404043,white,white,0.351,0.349,ok
GRP-XHS-68e99da2000000000700a15f-10,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_10.webp,#B3B2B6,#D4D3D8,gray,gray,0.4446,0.276,ok
GRP-XHS-68e99da2000000000700a15f-11,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_11.webp,#DDDDE2,#ACAFB5,white,white,0.29,0.2766,ok
GRP-XHS-68e99da2000000000700a15f-12,68e99da2000000000700a15f,Dataset/xhs/xiaohongshu_images/机能风穿搭/68e99da2000000000700a15f/image_12.webp,#B5B1B3,#A49A93,gray,gray,0.3004,0.2908,ok
