Image_ID,note_id,image_path,keyword,Source_ID,Source_Text,Curation_Status,Image_Category,Primary_Color,Secondary_Color,Material_Clue,Scenario,Visual_Weight,Pockets,Zipper_Type,Fit,Reflective,Text_Keywords,Text_Pain_Points,Text_Sentiment,Text_Sentiment_Score,Text_Color_Terms,Text_Material_Terms,Text_Function_Terms,Text_Scenario_Terms,Semantic_Consistency_Score,Conflict_Type,Conflict_Reason,Useful_Design_Signal,Gorpcore_Relevance,Visual_Confidence,Final_Confidence,Review_Needed,Review_Reason,Reviewer,Manual_Decision,Manual_Category,Manual_Notes,Corrected_Color,Corrected_Material,Corrected_Scenario,Corrected_Pain_Point,Reviewed_At
GRP-XHS-684be38f000000002202869a-01,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_01.webp,#机能风穿搭,GRP-XHS-684be38f000000002202869a,今日OOTD｜经典黑灰配色一键get,reject,multi_panel_outfit,none,none,unclear,Unclear,unclear,0,Unclear,Unclear,False,灰 | 黑,,neutral,0.0,灰 | 黑,,,,0.67,visual_rejected_or_non_outfit | color_text_visual_mismatch,Node B status/category is reject/multi_panel_outfit. | Text color terms (灰 | 黑) do not match primary color (none).,none,0.0,0.9,0.603,True,visual_rejected_or_non_outfit | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,multi_panel_outfit,Rejected in review: Node B rejected the image (); keep it out of the curated dataset.,,,,,2026-06-11
GRP-XHS-684be38f000000002202869a-02,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_02.webp,#机能风穿搭,GRP-XHS-684be38f000000002202869a,今日OOTD｜经典黑灰配色一键get,reject,product_marketing,black,none,matte fabric | structured silhouette,Fashion_Street,medium,0,Unclear,Regular,False,灰 | 黑,,neutral,0.0,灰 | 黑,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/product_marketing.,none,0.0,0.95,0.7125,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,product_marketing,"Rejected in review: Node B image curation category is product_marketing, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-684be38f000000002202869a-06,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_06.webp,#机能风穿搭,GRP-XHS-684be38f000000002202869a,今日OOTD｜经典黑灰配色一键get,reject,product_marketing,black,none,denim | matte fabric | ripstop,Urban_Commute,medium,4,Unclear,Oversized,False,灰 | 黑,,neutral,0.0,灰 | 黑,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/product_marketing.,none,0.3,0.9,0.675,True,visual_rejected_or_non_outfit | final_confidence_below_0.70,Codex assisted human review,reject,product_marketing,"Rejected in review: Node B image curation category is product_marketing, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-684be38f000000002202869a-07,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_07.webp,#机能风穿搭,GRP-XHS-684be38f000000002202869a,今日OOTD｜经典黑灰配色一键get,reject,product_marketing,white,black,cotton | knit | non-technical,Urban_Commute,lightweight,0,None,Regular,False,灰 | 黑,,neutral,0.0,灰 | 黑,,,,0.67,visual_rejected_or_non_outfit | color_text_visual_mismatch,Node B status/category is reject/product_marketing. | Text color terms (灰 | 黑) do not match primary color (white).,none,0.0,0.95,0.6365,True,visual_rejected_or_non_outfit | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,product_marketing,"Rejected in review: Node B image curation category is product_marketing, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-684bf88e000000002102d871-01,684bf88e000000002102d871,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\684bf88e000000002102d871\image_01.webp,#Gorpcore,GRP-XHS-684bf88e000000002102d871,定格边佑锡的夏日胶片日志,use,multi_panel_outfit,olive green,none,cotton | matte finish,Urban_Commute,lightweight,0,None,Oversized,False,,,neutral,0.0,,,,,0.88,none,none,none,0.3,0.9,0.792,True,low_gorpcore_relevance,Codex assisted human review,revise,multi_panel_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,olive green,cotton | matte finish,Urban_Commute,none,2026-06-11
GRP-XHS-685bd7dc000000000b02dc23-01,685bd7dc000000000b02dc23,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\685bd7dc000000000b02dc23\image_01.webp,#Gorpcore,GRP-XHS-685bd7dc000000000b02dc23,omg被自己关注好久的煮包回关谁懂？,reject,text_screenshot,none,none,unclear,Unclear,unclear,0,Unclear,Unclear,False,,,neutral,0.0,,,,,0.65,visual_rejected_or_non_outfit,Node B status/category is reject/text_screenshot.,none,0.0,1.0,0.65,True,visual_rejected_or_non_outfit | high_text_overlay | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,text_screenshot,"Rejected in review: Node B image curation category is text_screenshot, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-685cfe9d000000000b02c36b-01,685cfe9d000000000b02c36b,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\685cfe9d000000000b02c36b\image_01.webp,#Gorpcore,GRP-XHS-685cfe9d000000000b02c36b,进沪务工准备中…,reject,unrelated,none,none,unclear,Unclear,unclear,0,None,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/unrelated.,none,0.0,1.0,0.75,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-685cfe9d000000000b02c36b-02,685cfe9d000000000b02c36b,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\685cfe9d000000000b02c36b\image_02.webp,#Gorpcore,GRP-XHS-685cfe9d000000000b02c36b,进沪务工准备中…,reject,unrelated,none,none,unclear,Unclear,unclear,0,None,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/unrelated.,none,0.0,1.0,0.75,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-685cfe9d000000000b02c36b-03,685cfe9d000000000b02c36b,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\685cfe9d000000000b02c36b\image_03.webp,#Gorpcore,GRP-XHS-685cfe9d000000000b02c36b,进沪务工准备中…,reject,unrelated,none,none,unclear,Unclear,unclear,0,None,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/unrelated.,none,0.0,1.0,0.75,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-685cfe9d000000000b02c36b-04,685cfe9d000000000b02c36b,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\685cfe9d000000000b02c36b\image_04.webp,#Gorpcore,GRP-XHS-685cfe9d000000000b02c36b,进沪务工准备中…,reject,unrelated,none,none,unclear,Unclear,unclear,0,None,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/unrelated.,none,0.0,1.0,0.75,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-685d1a72000000001201745d-01,685d1a72000000001201745d,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\685d1a72000000001201745d\image_01.webp,#Gorpcore,GRP-XHS-685d1a72000000001201745d,因为永不过时,use,half_body_outfit,green,none,matte nylon | waterproof | technical shell,Urban_Commute,medium,2,Exposed,Loose,False,,,neutral,0.0,,,,,0.9,none,none,none,0.9,0.95,0.855,True,high_text_overlay,Codex assisted human review,accept,half_body_outfit,Accepted in review: valid outfit image and review flag is minor or already resolved by visual label.,,,,,2026-06-11
GRP-XHS-6863e5b5000000001202f410-01,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_01.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,full_body_outfit,gray,dark blue,ripstop | technical fabric | shell fabric,Outdoor,medium,4,Exposed,Oversized,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.9,0.95,0.665,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,full_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,ripstop | technical fabric | shell fabric,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-02,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_02.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,full_body_outfit,gray,black,technical fabric | waterproof | shell fabric | ripstop,Outdoor,medium,2,Exposed,Loose,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.85,0.9,0.63,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,full_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,technical fabric | waterproof | shell fabric | ripstop,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-04,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_04.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,full_body_outfit,gray,black,matte nylon | technical fabric | waterproof,Outdoor,medium,2,Exposed,Regular,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.85,0.95,0.665,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,full_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,matte nylon | technical fabric | waterproof,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-05,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_05.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,full_body_outfit,gray,black,ripstop | technical fabric | waterproof | shell,Outdoor,medium,3,Exposed,Loose,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.95,0.98,0.686,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,full_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,ripstop | technical fabric | waterproof | shell,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-06,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_06.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,full_body_outfit,gray,black,matte nylon | ripstop | technical shell,Outdoor,medium,2,Exposed,Loose,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.9,0.95,0.665,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,full_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,matte nylon | ripstop | technical shell,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-07,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_07.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,full_body_outfit,gray,black,matte nylon | ripstop | technical fabric,Outdoor,medium,2,Exposed,Loose,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.85,0.9,0.63,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,full_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,matte nylon | ripstop | technical fabric,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-08,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_08.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,use,half_body_outfit,gray,maroon,matte nylon | technical fabric | waterproof,Outdoor,lightweight,0,Unclear,Regular,False,户外,,neutral,0.0,,,,户外,0.7,node_a_rejected_but_label_exists,Node A marked this image as duplicate.,none,0.85,0.9,0.63,True,node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,revise,half_body_outfit,Accepted with revision: Node A conflict was overridden because the image label is a clear technical outfit with high visual confidence.,gray,matte nylon | technical fabric | waterproof,Outdoor,none,2026-06-11
GRP-XHS-6863e5b5000000001202f410-09,6863e5b5000000001202f410,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6863e5b5000000001202f410\image_09.webp,#Gorpcore,GRP-XHS-6863e5b5000000001202f410,户外帅一下,reject,unrelated,none,none,unclear,Unclear,unclear,0,Unclear,Unclear,False,户外,,neutral,0.0,,,,户外,0.45,visual_rejected_or_non_outfit | node_a_rejected_but_label_exists,Node B status/category is reject/unrelated. | Node A marked this image as duplicate.,none,0.0,0.9,0.405,True,visual_rejected_or_non_outfit | node_a_rejected_but_label_exists | final_confidence_below_0.70 | semantic_consistency_below_0.72,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-6870eeb30000000010025b35-02,6870eeb30000000010025b35,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\6870eeb30000000010025b35\image_02.webp,#Gorpcore,GRP-XHS-6870eeb30000000010025b35,FILA足迹｜今夏Gorpcore穿搭指南.zip,use,full_body_outfit,yellow,white,knit | cotton-like | mesh | technical fabric,Outdoor,lightweight,0,None,Regular,False,穿搭,,neutral,0.0,,,,,0.88,none,none,none,0.3,0.85,0.748,True,low_gorpcore_relevance,Codex assisted human review,revise,full_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,yellow,knit | cotton-like | mesh | technical fabric,Outdoor,none,2026-06-11
GRP-XHS-687616360000000024008944-01,687616360000000024008944,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\687616360000000024008944\image_01.webp,#Gorpcore,GRP-XHS-687616360000000024008944,爱你们希望你们喜欢,use,full_body_outfit,blue,black,denim | flannel | cotton,Urban_Commute,medium,2,None,Regular,False,,,positive,1.0,,,,,0.88,none,none,none,0.3,0.8,0.704,True,low_gorpcore_relevance,Codex assisted human review,revise,full_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,blue,denim | flannel | cotton,Urban_Commute,none,2026-06-11
GRP-XHS-68835e78000000002400cc99-04,68835e78000000002400cc99,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\68835e78000000002400cc99\image_04.webp,#Gorpcore,GRP-XHS-68835e78000000002400cc99,闯进现实版“绿野仙踪”,use,half_body_outfit,black,none,cotton | casual | relaxed fit,Outdoor,lightweight,0,Unclear,Loose,False,,,neutral,0.0,,,,,0.88,none,none,none,0.3,0.9,0.792,True,low_gorpcore_relevance,Codex assisted human review,revise,half_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,black,cotton | casual | relaxed fit,Outdoor,none,2026-06-11
GRP-XHS-68835e78000000002400cc99-06,68835e78000000002400cc99,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\68835e78000000002400cc99\image_06.webp,#Gorpcore,GRP-XHS-68835e78000000002400cc99,闯进现实版“绿野仙踪”,use,full_body_outfit,black,none,cotton | nylon | casual,Urban_Commute,lightweight,0,None,Loose,False,,,neutral,0.0,,,,,0.88,none,none,none,0.3,0.9,0.792,True,low_gorpcore_relevance,Codex assisted human review,revise,full_body_outfit,Accepted with revision: low model relevance was overridden because visible materials/details support Gorpcore or technical styling.,black,cotton | nylon | casual,Urban_Commute,none,2026-06-11
GRP-XHS-68835e78000000002400cc99-08,68835e78000000002400cc99,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\68835e78000000002400cc99\image_08.webp,#Gorpcore,GRP-XHS-68835e78000000002400cc99,闯进现实版“绿野仙踪”,reject,landscape,none,none,unclear,Unclear,unclear,0,None,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/landscape.,none,0.0,0.95,0.7125,True,visual_rejected_or_non_outfit,Codex assisted human review,reject,landscape,"Rejected in review: Node B image curation category is landscape, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-68877d1e0000000025011010-03,68877d1e0000000025011010,E:\code\Project\Dataset\xhs\xiaohongshu_images\Gorpcore\68877d1e0000000025011010\image_03.webp,#Gorpcore,GRP-XHS-68877d1e0000000025011010,户外—-失序运动风,review,multi_panel_outfit,olive green,black,ripstop | nylon | technical fabric | shell,Outdoor,medium,4,Exposed,Loose,False,户外,,neutral,0.0,,,,户外,0.9,none,none,none,0.85,0.7,0.63,True,high_text_overlay | final_confidence_below_0.70 | node_b_review_status,Codex assisted human review,revise,multi_panel_outfit,Accepted with revision: ambiguous model status but visible technical outfit is usable.,olive green,ripstop | nylon | technical fabric | shell,Outdoor,none,2026-06-11
GRP-XHS-68932e52000000002302cc89-01,68932e52000000002302cc89,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68932e52000000002302cc89\image_01.webp,#机能风穿搭,GRP-XHS-68932e52000000002302cc89,超自然能力社档案｜「市井刀影」,reject,unrelated,beige,black,matte fabric | technical style,Unclear,medium,0,Unclear,Oversized,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/unrelated.,none,0.3,0.8,0.6,True,visual_rejected_or_non_outfit | final_confidence_below_0.70,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
GRP-XHS-68932e52000000002302cc89-03,68932e52000000002302cc89,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68932e52000000002302cc89\image_03.webp,#机能风穿搭,GRP-XHS-68932e52000000002302cc89,超自然能力社档案｜「市井刀影」,reject,unrelated,black,gray,unclear,Unclear,unclear,0,Unclear,Unclear,False,,,neutral,0.0,,,,,0.75,visual_rejected_or_non_outfit,Node B status/category is reject/unrelated.,none,0.0,0.9,0.675,True,visual_rejected_or_non_outfit | final_confidence_below_0.70,Codex assisted human review,reject,unrelated,"Rejected in review: Node B image curation category is unrelated, not a usable outfit-analysis image.",,,,,2026-06-11
