Image_ID,note_id,image_path,run_status,Curation_Status,Image_Category,Reject_Reason,Body_Coverage,Text_Overlay_Level,Outfit_Count,Main_Subject_Visibility,Gorpcore_Relevance,Confidence
GRP-XHS-68b41359000000001c00e570-08,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_08.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-68b41359000000001c00e570-09,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_09.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-68b41359000000001c00e570-10,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_10.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-68b41359000000001c00e570-11,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_11.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-68b41359000000001c00e570-12,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_12.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-68b41359000000001c00e570-14,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_14.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-68b41359000000001c00e570-15,68b41359000000001c00e570,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68b41359000000001c00e570\image_15.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6974594d000000001a034f55-01,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_01.webp,annotated,use,multi_panel_outfit,none,full_body,medium,8,clear,0.75,0.9
GRP-XHS-6974594d000000001a034f55-02,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_02.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.6,0.9
GRP-XHS-6974594d000000001a034f55-03,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_03.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-6974594d000000001a034f55-04,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_04.webp,annotated,use,multi_panel_outfit,none,full_body,low,3,clear,0.85,0.95
GRP-XHS-6974594d000000001a034f55-05,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_05.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6974594d000000001a034f55-06,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_06.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.65,0.9
GRP-XHS-6974594d000000001a034f55-07,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_07.webp,annotated,use,multi_panel_outfit,none,full_body,low,3,clear,0.75,0.9
GRP-XHS-6974594d000000001a034f55-08,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_08.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6974594d000000001a034f55-09,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_09.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.3,0.9
GRP-XHS-6974594d000000001a034f55-10,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_10.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.8,0.95
GRP-XHS-6974594d000000001a034f55-11,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_11.webp,annotated,use,multi_panel_outfit,none,full_body,low,3,clear,0.4,0.9
GRP-XHS-6974594d000000001a034f55-13,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_13.webp,annotated,use,multi_panel_outfit,none,full_body,low,3,clear,0.75,0.9
GRP-XHS-6974594d000000001a034f55-14,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_14.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.7,0.9
GRP-XHS-6974594d000000001a034f55-15,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_15.webp,annotated,use,multi_panel_outfit,none,full_body,none,3,clear,0.7,0.9
GRP-XHS-6974594d000000001a034f55-16,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_16.webp,annotated,use,multi_panel_outfit,none,full_body,none,3,clear,0.65,0.9
GRP-XHS-6974594d000000001a034f55-17,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_17.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.7,0.9
GRP-XHS-6974594d000000001a034f55-18,6974594d000000001a034f55,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6974594d000000001a034f55\image_18.webp,annotated,use,multi_panel_outfit,none,full_body,none,1,clear,0.4,0.9
GRP-XHS-69214da4000000001f00aa7a-01,69214da4000000001f00aa7a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69214da4000000001f00aa7a\image_01.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-69214da4000000001f00aa7a-02,69214da4000000001f00aa7a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69214da4000000001f00aa7a\image_02.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-69a1a6c0000000001a0290d9-01,69a1a6c0000000001a0290d9,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69a1a6c0000000001a0290d9\image_01.webp,annotated,use,multi_panel_outfit,none,full_body,none,4,clear,0.95,0.98
GRP-XHS-683ec114000000002300dde0-01,683ec114000000002300dde0,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\683ec114000000002300dde0\image_01.webp,annotated,use,full_body_outfit,none,full_body,low,1,clear,0.85,0.95
GRP-XHS-683ec114000000002300dde0-02,683ec114000000002300dde0,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\683ec114000000002300dde0\image_02.webp,annotated,use,full_body_outfit,none,full_body,low,1,clear,0.85,0.95
GRP-XHS-683ec114000000002300dde0-03,683ec114000000002300dde0,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\683ec114000000002300dde0\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-683ec114000000002300dde0-05,683ec114000000002300dde0,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\683ec114000000002300dde0\image_05.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.7,0.95
GRP-XHS-683ec114000000002300dde0-07,683ec114000000002300dde0,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\683ec114000000002300dde0\image_07.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.7,0.9
GRP-XHS-69c7b3450000000020039ccc-01,69c7b3450000000020039ccc,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69c7b3450000000020039ccc\image_01.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-68da4ee6000000001101da8b-01,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_01.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-68da4ee6000000001101da8b-02,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_02.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-68da4ee6000000001101da8b-03,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-68da4ee6000000001101da8b-04,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_04.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-68da4ee6000000001101da8b-05,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_05.webp,annotated,use,full_body_outfit,none,full_body,none,2,clear,0.85,0.9
GRP-XHS-68da4ee6000000001101da8b-06,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_06.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.9
GRP-XHS-68da4ee6000000001101da8b-07,68da4ee6000000001101da8b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68da4ee6000000001101da8b\image_07.webp,annotated,use,multi_panel_outfit,none,full_body,none,2,clear,0.85,0.9
GRP-XHS-69d10431000000001b0025ee-01,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_01.webp,annotated,use,multi_panel_outfit,none,multiple,low,9,clear,0.95,0.98
GRP-XHS-69d10431000000001b0025ee-02,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_02.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.95,0.98
GRP-XHS-69d10431000000001b0025ee-03,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_03.webp,annotated,use,half_body_outfit,none,upper_body,low,1,clear,0.9,0.95
GRP-XHS-69d10431000000001b0025ee-04,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_04.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.95,0.98
GRP-XHS-69d10431000000001b0025ee-05,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_05.webp,annotated,use,half_body_outfit,none,upper_body,low,1,clear,0.95,0.98
GRP-XHS-69d10431000000001b0025ee-06,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_06.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.85,0.9
GRP-XHS-69d10431000000001b0025ee-07,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_07.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.85,0.95
GRP-XHS-69d10431000000001b0025ee-08,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_08.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.85,0.9
GRP-XHS-69d10431000000001b0025ee-09,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_09.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.7,0.9
GRP-XHS-69d10431000000001b0025ee-10,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_10.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.95,0.98
GRP-XHS-69d10431000000001b0025ee-11,69d10431000000001b0025ee,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69d10431000000001b0025ee\image_11.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-6964a74c000000002202c56c-01,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_01.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-6964a74c000000002202c56c-06,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_06.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.85,0.95
GRP-XHS-6964a74c000000002202c56c-07,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_07.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-6964a74c000000002202c56c-08,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_08.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.95,0.9
GRP-XHS-6964a74c000000002202c56c-09,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_09.webp,annotated,use,half_body_outfit,none,upper_body,low,1,clear,0.9,0.95
GRP-XHS-6964a74c000000002202c56c-10,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_10.webp,annotated,use,full_body_outfit,none,full_body,low,1,clear,0.95,0.98
GRP-XHS-6964a74c000000002202c56c-11,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_11.webp,annotated,use,half_body_outfit,none,lower_body,none,1,clear,0.85,0.9
GRP-XHS-6964a74c000000002202c56c-12,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_12.webp,annotated,use,half_body_outfit,none,lower_body,none,1,clear,0.85,0.9
GRP-XHS-6964a74c000000002202c56c-14,6964a74c000000002202c56c,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6964a74c000000002202c56c\image_14.webp,annotated,use,half_body_outfit,none,lower_body,none,1,clear,0.85,0.95
GRP-XHS-68e8a98f000000000700d9b4-03,68e8a98f000000000700d9b4,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\68e8a98f000000000700d9b4\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-69b4ec21000000002200ed5b-01,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_01.webp,annotated,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-69b4ec21000000002200ed5b-02,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_02.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-69b4ec21000000002200ed5b-03,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-69b4ec21000000002200ed5b-04,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_04.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-69b4ec21000000002200ed5b-05,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_05.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-69b4ec21000000002200ed5b-06,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_06.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-69b4ec21000000002200ed5b-07,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_07.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-69b4ec21000000002200ed5b-08,69b4ec21000000002200ed5b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69b4ec21000000002200ed5b\image_08.webp,annotated,use,half_body_outfit,none,lower_body,none,1,clear,0.9,0.95
GRP-XHS-69734679000000002202d5e2-01,69734679000000002202d5e2,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69734679000000002202d5e2\image_01.webp,annotated,use,half_body_outfit,none,upper_body,low,1,clear,0.85,0.9
GRP-XHS-69734679000000002202d5e2-02,69734679000000002202d5e2,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69734679000000002202d5e2\image_02.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.8,0.95
GRP-XHS-69734679000000002202d5e2-03,69734679000000002202d5e2,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69734679000000002202d5e2\image_03.webp,annotated,use,half_body_outfit,none,upper_body,none,1,clear,0.7,0.9
GRP-XHS-69734679000000002202d5e2-04,69734679000000002202d5e2,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69734679000000002202d5e2\image_04.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-69734679000000002202d5e2-05,69734679000000002202d5e2,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69734679000000002202d5e2\image_05.webp,annotated,use,full_body_outfit,none,full_body,low,1,clear,0.85,0.95
GRP-XHS-69cdbae90000000021013a1d-01,69cdbae90000000021013a1d,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69cdbae90000000021013a1d\image_01.webp,annotated,use,multi_panel_outfit,none,full_body,none,6,clear,0.95,0.98
GRP-XHS-69cdbae90000000021013a1d-02,69cdbae90000000021013a1d,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69cdbae90000000021013a1d\image_02.webp,annotated,use,multi_panel_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-69cdbae90000000021013a1d-03,69cdbae90000000021013a1d,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69cdbae90000000021013a1d\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-69cdbae90000000021013a1d-04,69cdbae90000000021013a1d,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69cdbae90000000021013a1d\image_04.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.95,0.98
GRP-XHS-69cdbae90000000021013a1d-05,69cdbae90000000021013a1d,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69cdbae90000000021013a1d\image_05.webp,annotated,use,full_body_outfit,none,full_body,none,2,clear,0.95,0.98
GRP-XHS-6a0423830000000036033a57-01,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_01.webp,annotated,use,multi_panel_outfit,none,full_body,none,8,clear,0.95,0.98
GRP-XHS-6a0423830000000036033a57-02,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_02.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.65,0.9
GRP-XHS-6a0423830000000036033a57-03,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6a0423830000000036033a57-04,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_04.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.7,0.95
GRP-XHS-6a0423830000000036033a57-05,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_05.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6a0423830000000036033a57-06,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_06.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6a0423830000000036033a57-07,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_07.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.85,0.95
GRP-XHS-6a0423830000000036033a57-08,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_08.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.7,0.9
GRP-XHS-6a0423830000000036033a57-09,6a0423830000000036033a57,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\6a0423830000000036033a57\image_09.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.75,0.9
GRP-XHS-69169e58000000000703ab3b-01,69169e58000000000703ab3b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\69169e58000000000703ab3b\image_01.webp,annotated,use,full_body_outfit,none,full_body,medium,1,clear,0.8,0.95
GRP-XHS-694be601000000001f00792e-01,694be601000000001f00792e,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\694be601000000001f00792e\image_01.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.8,0.95
GRP-XHS-694be601000000001f00792e-02,694be601000000001f00792e,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\694be601000000001f00792e\image_02.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.9,0.95
GRP-XHS-694be601000000001f00792e-03,694be601000000001f00792e,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\694be601000000001f00792e\image_03.webp,annotated,use,full_body_outfit,none,full_body,none,1,clear,0.8,0.9
GRP-XHS-688223c8000000001203365b-01,688223c8000000001203365b,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\688223c8000000001203365b\image_01.webp,annotated,use,multi_panel_outfit,none,full_body,medium,3,clear,0.85,0.9
GRP-XHS-684be38f000000002202869a-01,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_01.webp,annotated,reject,multi_panel_outfit,product_only,full_body,medium,12,clear,0.0,0.9
GRP-XHS-684be38f000000002202869a-02,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_02.webp,annotated,reject,product_marketing,product_only,full_body,medium,1,clear,0.0,0.95
GRP-XHS-684be38f000000002202869a-03,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_03.webp,annotated,use,multi_panel_outfit,none,full_body,low,1,clear,0.4,0.9
GRP-XHS-684be38f000000002202869a-04,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_04.webp,annotated,use,multi_panel_outfit,none,full_body,low,2,clear,0.75,0.9
GRP-XHS-684be38f000000002202869a-05,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_05.webp,annotated,use,multi_panel_outfit,none,full_body,medium,1,clear,0.6,0.85
GRP-XHS-684be38f000000002202869a-06,684be38f000000002202869a,E:\code\Project\Dataset\xhs\xiaohongshu_images\机能风穿搭\684be38f000000002202869a\image_06.webp,annotated,reject,product_marketing,product_only,full_body,low,1,clear,0.3,0.9
